"lastword","KNP","lambda"
"290","already",0.000361411046183459,0.426724137931034
"513","behind",0.000361411046183459,0.356796116504854
"287","live",0.000357350247911734,0.398305084745763
"342","coming",0.000357350247911734,0.258445945945946
"204","place",0.00035328944964001,0.273279352226721
"209","pm",0.00035328944964001,0.361111111111111
"276","run",0.00035328944964001,0.369047619047619
"329","business",0.00035328944964001,0.498355263157895
"331","hit",0.00035328944964001,0.379934210526316
"383","center",0.00035328944964001,0.363805970149254
"403","books",0.00035328944964001,0.416015625
"471","however",0.00035328944964001,0.401785714285714
"179","help",0.000349228651368286,0.340425531914894
"193","doing",0.000349228651368286,0.267647058823529
"299","less",0.000349228651368286,0.456325301204819
"300","theyre",0.000349228651368286,0.501506024096386
"354","maybe",0.000349228651368286,0.395833333333333
"361","students",0.000349228651368286,0.39612676056338
"396","myself",0.000349228651368286,0.360687022900763
"469","either",0.000349228651368286,0.428571428571429
"110","want",0.000345167853096562,0.125
"313","water",0.000345167853096562,0.443396226415094
"167","feel",0.000341107054824837,0.247619047619048
"259","pretty",0.000341107054824837,0.39572864321608
"268","actually",0.000341107054824837,0.540155440414508
"283","working",0.000341107054824837,0.279166666666667
"307","must",0.000341107054824837,0.335889570552147
"332","president",0.000341107054824837,0.372516556291391
"380","news",0.000341107054824837,0.422222222222222
"104","am",0.000337046256553113,0.309139784946237
"168","didnt",0.000337046256553113,0.320063694267516
"206","give",0.000337046256553113,0.199795081967213
"321","anything",0.000337046256553113,0.367647058823529
"335","haha",0.000332985458281389,0.281879194630872
"427","using",0.000332985458281389,0.461065573770492
"237","found",0.000328924660009665,0.275943396226415
"255","th",0.000328924660009665,0.330445544554455
"315","kids",0.000328924660009665,0.474683544303797
"319","games",0.000328924660009665,0.399350649350649
"406","comes",0.000328924660009665,0.248031496062992
"407","isnt",0.000328924660009665,0.466535433070866
"449","saying",0.000328924660009665,0.407327586206897
"241","oh",0.00032486386173794,0.341232227488152
"274","children",0.00032486386173794,0.394736842105263
"304","nothing",0.00032486386173794,0.315548780487805
"323","girl",0.00032486386173794,0.490196078431373
"366","women",0.00032486386173794,0.404255319148936
"397","health",0.00032486386173794,0.351923076923077
"478","john",0.00032486386173794,0.614864864864865
"577","within",0.00032486386173794,0.301630434782609
"234","bad",0.000320803063466216,0.434579439252336
"249","thought",0.000320803063466216,0.27536231884058
"308","started",0.000320803063466216,0.363496932515337
"336","hours",0.000320803063466216,0.38758389261745
"399","looks",0.000320803063466216,0.276923076923077
"291","person",0.000316742265194492,0.387931034482759
"302","county",0.000316742265194492,0.504545454545455
"312","room",0.000316742265194492,0.39622641509434
"326","talk",0.000316742265194492,0.25
"356","lets",0.000316742265194492,0.346153846153846
"378","often",0.000316742265194492,0.540441176470588
"419","beer",0.000316742265194492,0.495967741935484
"437","class",0.000316742265194492,0.413135593220339
"248","start",0.000312681466922768,0.398550724637681
"296","soon",0.000312681466922768,0.290178571428571
"325","open",0.000312681466922768,0.382352941176471
"362","almost",0.000312681466922768,0.48936170212766
"394","support",0.000312681466922768,0.386363636363636
"475","program",0.000312681466922768,0.448660714285714
"262","different",0.000308620668651043,0.555837563451777
"370","whats",0.000308620668651043,0.298913043478261
"373","young",0.000308620668651043,0.521739130434783
"294","change",0.000304559870379319,0.317647058823529
"298","friday",0.000304559870379319,0.38855421686747
"318","trying",0.000304559870379319,0.0907643312101911
"339","white",0.000304559870379319,0.498322147651007
"355","office",0.000304559870379319,0.40625
"401","group",0.000304559870379319,0.401162790697674
"497","outside",0.000304559870379319,0.298611111111111
"195","keep",0.000300499072107595,0.272727272727273
"309","story",0.000300499072107595,0.368098159509202
"432","black",0.000300499072107595,0.535714285714286
"489","experience",0.000300499072107595,0.378440366972477
"273","season",0.000296438273835871,0.337696335078534
"334","anyone",0.000296438273835871,0.36
"393","several",0.000296438273835871,0.517045454545455
"435","service",0.000296438273835871,0.485294117647059
"440","project",0.000296438273835871,0.483050847457627
"488","event",0.000296438273835871,0.43348623853211
"508","system",0.000296438273835871,0.382075471698113
"529","shes",0.000296438273835871,0.497524752475248
"543","fans",0.000296438273835871,0.471649484536082
"230","tell",0.000292377475564146,0.231566820276498
"263","job",0.000292377475564146,0.365482233502538
"289","top",0.000292377475564146,0.445714285714286
"365","watching",0.000292377475564146,0.446808510638298
"404","power",0.000292377475564146,0.38671875
"420","line",0.000292377475564146,0.441532258064516
"457","college",0.000292377475564146,0.493421052631579
"485","running",0.000292377475564146,0.443181818181818
"537","cause",0.000292377475564146,0.39030612244898
"578","across",0.000292377475564146,0.214285714285714
"279","point",0.000288316677292422,0.372950819672131
"453","playing",0.000288316677292422,0.456521739130435
"483","meeting",0.000288316677292422,0.354545454545455
"643","especially",0.000288316677292422,0.384146341463415
"333","small",0.000284255879020698,0.610927152317881
"346","blog",0.000284255879020698,0.413265306122449
"114","year",0.000280195080748974,0.285425101214575
"281","hard",0.000280195080748974,0.302486187845304
"415","full",0.000280195080748974,0.438
"426","hot",0.000280195080748974,0.504098360655738
"445","quite",0.000280195080748974,0.455128205128205
"460","needs",0.000280195080748974,0.269736842105263
"474","plan",0.000280195080748974,0.321428571428571
"479","park",0.000280195080748974,0.554054054054054
"498","baby",0.000280195080748974,0.462616822429907
"507","reading",0.000280195080748974,0.452830188679245
"250","fun",0.000276134282477249,0.40609756097561
"303","head",0.000276134282477249,0.331818181818182
"317","post",0.000276134282477249,0.39171974522293
"364","side",0.000276134282477249,0.398936170212766
"402","minutes",0.000276134282477249,0.337209302325581
"510","history",0.000276134282477249,0.392857142857143
"566","among",0.000276134282477249,0.298387096774194
"391","series",0.000272073484205525,0.400375939849624
"448","monday",0.000272073484205525,0.426724137931034
"502","whether",0.000272073484205525,0.322429906542056
"506","gave",0.000272073484205525,0.268867924528302
"561","points",0.000272073484205525,0.295212765957447
"277","nice",0.000268012685933801,0.467741935483871
"374","others",0.000268012685933801,0.443430656934307
"422","saturday",0.000268012685933801,0.393145161290323
"430","area",0.000268012685933801,0.4625
"476","cut",0.000268012685933801,0.418918918918919
"612","shows",0.000268012685933801,0.453488372093023
"616","b",0.000268012685933801,0.6
"284","read",0.000263951887662077,0.331005586592179
"311","win",0.000263951887662077,0.3375
"423","street",0.000263951887662077,0.502016129032258
"455","sunday",0.000263951887662077,0.417391304347826
"491","government",0.000263951887662077,0.529816513761468
"576","starting",0.000263951887662077,0.366847826086956
"588","drive",0.000263951887662077,0.438202247191011
"338","twitter",0.000259891089390352,0.453020134228188
"438","cool",0.000259891089390352,0.476694915254237
"381","stay",0.000255830291118628,0.344444444444444
"392","stop",0.000255830291118628,0.456766917293233
"441","thinking",0.000255830291118628,0.222457627118644
"486","social",0.000255830291118628,0.429545454545455
"359","ready",0.000251769492846904,0.126760563380282
"375","pay",0.000251769492846904,0.366788321167883
"456","add",0.000251769492846904,0.375
"512","road",0.000251769492846904,0.461538461538462
"532","turn",0.000251769492846904,0.42
"562","rather",0.000251769492846904,0.335106382978723
"653","although",0.000251769492846904,0.305555555555556
"749","near",0.000251769492846904,0.482142857142857
"292","try",0.00024770869457518,0.190751445086705
"297","past",0.00024770869457518,0.395209580838323
"330","care",0.00024770869457518,0.365131578947368
"344","name",0.00024770869457518,0.380067567567568
"372","wont",0.00024770869457518,0.380434782608696
"412","finally",0.00024770869457518,0.535714285714286
"487","sometimes",0.00024770869457518,0.409090909090909
"493","words",0.00024770869457518,0.399082568807339
"531","members",0.00024770869457518,0.3375
"540","red",0.00024770869457518,0.596938775510204
"582","six",0.00024770869457518,0.502747252747253
"601","goes",0.00024770869457518,0.396551724137931
"688","inside",0.00024770869457518,0.37012987012987
"697","themselves",0.00024770869457518,0.384868421052632
"148","week",0.000243647896303455,0.309055118110236
"186","find",0.000243647896303455,0.267272727272727
"328","awesome",0.000243647896303455,0.488486842105263
"347","kind",0.000243647896303455,0.0969387755102041
"400","summer",0.000243647896303455,0.496153846153846
"465","lost",0.000243647896303455,0.391592920353982
"501","stuff",0.000243647896303455,0.441588785046729
"533","writing",0.000243647896303455,0.4425
"559","mr",0.000243647896303455,0.686170212765957
"574","information",0.000243647896303455,0.35054347826087
"316","miss",0.000239587098031731,0.32753164556962
"343","guys",0.000239587098031731,0.425675675675676
"413","local",0.000239587098031731,0.613095238095238
"530","bill",0.000239587098031731,0.525
"551","video",0.000239587098031731,0.515625
"556","coach",0.000239587098031731,0.582446808510638
"614","weve",0.000239587098031731,0.322674418604651
"652","yourself",0.000239587098031731,0.439024390243902
"665","himself",0.000239587098031731,0.421875
"859","etc",0.000239587098031731,0.418032786885246
"384","company",0.000235526299760007,0.430970149253731
"462","five",0.000235526299760007,0.464601769911504
"499","board",0.000235526299760007,0.427570093457944
"536","tweet",0.000235526299760007,0.416666666666667
"546","spring",0.000235526299760007,0.463917525773196
"571","shot",0.000235526299760007,0.451612903225806
"579","art",0.000235526299760007,0.486263736263736
"580","director",0.000235526299760007,0.354395604395604
"617","building",0.000235526299760007,0.423529411764706
"379","guy",0.000231465501488283,0.405555555555556
"408","move",0.000231465501488283,0.383858267716535
"436","taking",0.000231465501488283,0.384453781512605
"515","girls",0.000231465501488283,0.546116504854369
"555","seems",0.000231465501488283,0.236842105263158
"629","known",0.000231465501488283,0.348214285714286
"638","nearly",0.000231465501488283,0.496987951807229
"680","players",0.000231465501488283,0.461538461538462
"714","jobs",0.000231465501488283,0.493150684931507
"717","perhaps",0.000231465501488283,0.493150684931507
"718","plus",0.000231465501488283,0.544520547945205
"349","asked",0.000227404703216558,0.248275862068966
"434","national",0.000227404703216558,0.611344537815126
"595","gets",0.000227404703216558,0.477272727272727
"598","store",0.000227404703216558,0.485795454545455
"661","political",0.000227404703216558,0.648148148148148
"668","per",0.000227404703216558,0.403125
"724","position",0.000227404703216558,0.458333333333333
"729","based",0.000227404703216558,0.158450704225352
"748","issues",0.000227404703216558,0.439285714285714
"858","due",0.000227404703216558,0.147540983606557
"221","end",0.000223343904944834,0.195796460176991
"433","law",0.000223343904944834,0.403361344537815
"452","means",0.000223343904944834,0.417391304347826
"490","feeling",0.000223343904944834,0.447247706422018
"492","university",0.000223343904944834,0.43348623853211
"526","men",0.000223343904944834,0.430693069306931
"539","played",0.000223343904944834,0.420918367346939
"565","works",0.000223343904944834,0.454787234042553
"619","thursday",0.000223343904944834,0.397058823529412
"622","won",0.000223343904944834,0.388235294117647
"722","followed",0.000223343904944834,0.25
"345","true",0.00021928310667311,0.440878378378378
"358","mean",0.00021928310667311,0.390845070422535
"367","amazing",0.00021928310667311,0.530357142857143
"386","probably",0.00021928310667311,0.514925373134328
"410","car",0.00021928310667311,0.5
"416","months",0.00021928310667311,0.354
"482","half",0.00021928310667311,0.381818181818182
"542","community",0.00021928310667311,0.479381443298969
"558","living",0.00021928310667311,0.351063829787234
"563","short",0.00021928310667311,0.550531914893617
"572","talking",0.00021928310667311,0.185483870967742
"605","added",0.00021928310667311,0.401162790697674
"751","plans",0.00021928310667311,0.353571428571429
"848","o",0.00021928310667311,0.459677419354839
"464","list",0.000215222308401386,0.325221238938053
"480","woman",0.000215222308401386,0.391891891891892
"521","march",0.000215222308401386,0.426470588235294
"541","south",0.000215222308401386,0.413265306122449
"564","special",0.000215222308401386,0.61436170212766
"570","market",0.000215222308401386,0.435483870967742
"584","ones",0.000215222308401386,0.508333333333333
"608","fan",0.000215222308401386,0.409883720930233
"620","tv",0.000215222308401386,0.485294117647059
"673","turned",0.000215222308401386,0.294303797468354
"686","available",0.000215222308401386,0.340909090909091
"716","online",0.000215222308401386,0.585616438356164
"726","training",0.000215222308401386,0.447916666666667
"737","n",0.000215222308401386,0.612676056338028
"830","yesterday",0.000215222308401386,0.50390625
"320","watch",0.000211161510129661,0.394480519480519
"341","case",0.000211161510129661,0.410472972972973
"353","friend",0.000211161510129661,0.479166666666667
"363","remember",0.000211161510129661,0.388297872340426
"369","american",0.000211161510129661,0.603260869565217
"484","movie",0.000211161510129661,0.552272727272727
"511","close",0.000211161510129661,0.346153846153846
"520","late",0.000211161510129661,0.507352941176471
"581","fall",0.000211161510129661,0.445054945054945
"585","sorry",0.000211161510129661,0.333333333333333
"593","tuesday",0.000211161510129661,0.48876404494382
"636","dinner",0.000211161510129661,0.451807228915663
"651","space",0.000211161510129661,0.530487804878049
"660","level",0.000211161510129661,0.37037037037037
"694","north",0.000211161510129661,0.483552631578947
"709","officials",0.000211161510129661,0.456081081081081
"712","energy",0.000211161510129661,0.523972602739726
"719","above",0.000211161510129661,0.40625
"799","dr",0.000211161510129661,0.522727272727273
"880","c",0.000211161510129661,0.406779661016949
"450","beautiful",0.000207100711857937,0.515217391304348
"473","perfect",0.000207100711857937,0.535714285714286
"477","following",0.000207100711857937,0.405405405405405
"613","tax",0.000207100711857937,0.549418604651163
"630","light",0.000207100711857937,0.508928571428571
"631","rock",0.000207100711857937,0.544642857142857
"632","sent",0.000207100711857937,0.348214285714286
"797","companies",0.000207100711857937,0.443181818181818
"903","items",0.000207100711857937,0.323275862068966
"938","itself",0.000207100711857937,0.401785714285714
"949","whose",0.000207100711857937,0.696428571428571
"388","yeah",0.000203039913586213,0.375
"523","song",0.000203039913586213,0.433823529411765
"704","waiting",0.000203039913586213,0.23
"710","ya",0.000203039913586213,0.506756756756757
"725","simply",0.000203039913586213,0.59375
"740","ur",0.000203039913586213,0.686619718309859
"741","view",0.000203039913586213,0.443661971830986
"823","james",0.000203039913586213,0.6328125
"405","wasnt",0.000198979115314489,0.45703125
"428","face",0.000198979115314489,0.384297520661157
"429","leave",0.000198979115314489,0.309917355371901
"439","hand",0.000198979115314489,0.438559322033898
"518","ask",0.000198979115314489,0.330882352941176
"553","needed",0.000198979115314489,0.307894736842105
"568","funny",0.000198979115314489,0.451612903225806
"575","lead",0.000198979115314489,0.391304347826087
"597","pick",0.000198979115314489,0.340909090909091
"618","takes",0.000198979115314489,0.405882352941176
"659","east",0.000198979115314489,0.472222222222222
"736","moving",0.000198979115314489,0.517605633802817
"766","questions",0.000198979115314489,0.445652173913043
"812","research",0.000198979115314489,0.496153846153846
"813","stories",0.000198979115314489,0.45
"851","sales",0.000198979115314489,0.483870967741935
"1036","programs",0.000198979115314489,0.485294117647059
"235","morning",0.000194918317042764,0.406542056074766
"305","second",0.000194918317042764,0.548780487804878
"611","schools",0.000194918317042764,0.47093023255814
"650","process",0.000194918317042764,0.448170731707317
"655","boy",0.000194918317042764,0.481481481481481
"675","california",0.000194918317042764,0.576923076923077
"734","events",0.000194918317042764,0.528169014084507
"750","piece",0.000194918317042764,0.310714285714286
"806","style",0.000194918317042764,0.477272727272727
"807","alone",0.000194918317042764,0.45
"868","services",0.000194918317042764,0.418032786885246
"899","changes",0.000194918317042764,0.413793103448276
"210","sure",0.00019085751877104,0.266528925619835
"418","become",0.00019085751877104,0.393145161290323
"504","death",0.00019085751877104,0.382075471698113
"545","question",0.00019085751877104,0.417525773195876
"550","number",0.00019085751877104,0.2265625
"567","department",0.00019085751877104,0.370967741935484
"599","walk",0.00019085751877104,0.392045454545455
"690","record",0.00019085751877104,0.467532467532468
"699","bar",0.00019085751877104,0.5
"711","act",0.00019085751877104,0.410958904109589
"735","moved",0.00019085751877104,0.274647887323944
"738","paid",0.00019085751877104,0.433098591549296
"769","voice",0.00019085751877104,0.467391304347826
"794","brown",0.00019085751877104,0.556818181818182
"867","recently",0.00019085751877104,0.602459016393443
"874","growth",0.00019085751877104,0.5
"910","problems",0.00019085751877104,0.387931034482759
"442","bring",0.000186796720499316,0.352564102564103
"461","april",0.000186796720499316,0.418141592920354
"505","felt",0.000186796720499316,0.389150943396226
"560","ok",0.000186796720499316,0.462765957446808
"625","control",0.000186796720499316,0.383928571428571
"634","sweet",0.000186796720499316,0.607142857142857
"679","major",0.000186796720499316,0.634615384615385
"685","usually",0.000186796720499316,0.634615384615385
"703","strong",0.000186796720499316,0.64
"728","arent",0.000186796720499316,0.602112676056338
"758","began",0.000186796720499316,0.347826086956522
"768","teams",0.000186796720499316,0.554347826086957
"801","international",0.000186796720499316,0.659090909090909
"815","tour",0.000186796720499316,0.438461538461538
"854","became",0.000186796720499316,0.344262295081967
"906","p",0.000186796720499316,0.375
"922","x",0.000186796720499316,0.539473684210526
"322","far",0.000182735922227591,0.333333333333333
"357","birthday",0.000182735922227591,0.411971830985915
"451","former",0.000182735922227591,0.645652173913043
"494","court",0.000182735922227591,0.5
"573","town",0.000182735922227591,0.475806451612903
"583","wants",0.000182735922227591,0.214285714285714
"623","age",0.000182735922227591,0.4375
